能力評価,性格診断結果,思索型:内閉性,自制型:弱気さ,従順性,ﾓﾗﾄﾘｱﾑ傾向,自己信頼性,努力型:持続性,積極性,協調性,共感性,努力型:規則性
B,B,,,50.0,30.0,54.0,51.0,52.0,,52.0,55.0
,－,48.0,38.0,55.0,41.0,34.0,40.0,63.0,53.0,26.0,
B,B,,,45.0,51.0,39.0,,61.0,74.0,57.0,62.0
B,S,64.0,,32.0,54.0,36.0,69.0,48.0,44.0,,46.0
,－,72.0,62.0,42.0,,42.0,21.0,,61.0,21.0,
,C,50.0,62.0,24.0,53.0,,51.0,74.0,71.0,59.0,51.0
A,D,44.0,37.0,,44.0,,,65.0,41.0,20.0,44.0
A,S,49.0,74.0,,33.0,38.0,59.0,,47.0,,35.0
B,－,,,53.0,42.0,33.0,54.0,38.0,14.0,,61.0
B,A,,,39.0,54.0,,50.0,57.0,,12.0,
B,B,76.0,60.0,,56.0,47.0,45.0,29.0,,13.0,44.0
A,D,27.0,46.0,45.0,46.0,37.0,55.0,55.0,,30.0,75.0
A,D,71.0,59.0,63.0,45.0,28.0,44.0,66.0,62.0,36.0,62.0
B,D,62.0,60.0,52.0,55.0,,29.0,52.0,57.0,35.0,
,S,,42.0,,46.0,24.0,46.0,53.0,,31.0,63.0
B,D,,73.0,55.0,,56.0,16.0,56.0,52.0,34.0,25.0
B,S,56.0,52.0,50.0,37.0,36.0,20.0,54.0,37.0,26.0,
B,－,,90.0,,43.0,60.0,44.0,,74.0,29.0,78.0
A,A,27.0,41.0,36.0,33.0,20.0,34.0,63.0,65.0,40.0,79.0
B,D,41.0,52.0,58.0,61.0,27.0,,74.0,53.0,25.0,56.0
A,D,27.0,55.0,,46.0,24.0,15.0,74.0,,59.0,58.0
,D,32.0,37.0,55.0,52.0,39.0,,,36.0,27.0,51.0
A,B,32.0,,58.0,55.0,48.0,42.0,61.0,69.0,43.0,39.0
,D,59.0,35.0,22.0,46.0,31.0,54.0,43.0,53.0,18.0,46.0
A,C,,53.0,37.0,,49.0,60.0,44.0,52.0,17.0,
B,A,,70.0,52.0,44.0,41.0,47.0,55.0,52.0,10.0,63.0
A,C,42.0,50.0,45.0,48.0,,47.0,42.0,34.0,35.0,60.0
,D,62.0,41.0,40.0,45.0,65.0,22.0,41.0,,17.0,59.0
B,C,,50.0,28.0,31.0,51.0,46.0,70.0,,10.0,41.0
A,－,62.0,,24.0,29.0,53.0,,33.0,38.0,20.0,46.0
B,D,73.0,69.0,34.0,48.0,,28.0,74.0,48.0,,57.0
B,A,42.0,31.0,,26.0,47.0,17.0,11.0,68.0,10.0,67.0
,A,27.0,,32.0,42.0,64.0,50.0,49.0,64.0,16.0,
B,B,76.0,52.0,55.0,48.0,29.0,53.0,55.0,,35.0,57.0
,B,,48.0,40.0,46.0,,20.0,64.0,36.0,42.0,46.0
B,D,,85.0,,,43.0,,62.0,,10.0,43.0
B,A,37.0,96.0,55.0,43.0,39.0,16.0,64.0,74.0,19.0,66.0
A,S,70.0,78.0,,,17.0,,74.0,62.0,34.0,
,D,,62.0,34.0,,32.0,21.0,25.0,54.0,,59.0
A,－,,,55.0,27.0,35.0,,23.0,,28.0,62.0
,D,80.0,65.0,62.0,41.0,,45.0,36.0,12.0,,52.0
B,D,51.0,42.0,22.0,52.0,,67.0,36.0,50.0,16.0,59.0
A,B,,37.0,44.0,,11.0,59.0,59.0,40.0,17.0,58.0
B,A,40.0,69.0,23.0,42.0,75.0,46.0,26.0,36.0,,59.0
,S,,57.0,44.0,40.0,,,70.0,74.0,55.0,55.0
,C,44.0,,61.0,,54.0,,,13.0,42.0,48.0
,B,27.0,62.0,47.0,,25.0,57.0,71.0,19.0,36.0,75.0
,B,,78.0,36.0,33.0,38.0,21.0,41.0,32.0,32.0,70.0
B,－,43.0,,,59.0,40.0,,74.0,23.0,38.0,
A,B,74.0,30.0,,45.0,22.0,46.0,68.0,,28.0,
A,B,38.0,40.0,,,37.0,,65.0,,11.0,49.0
,B,75.0,53.0,22.0,45.0,55.0,42.0,42.0,72.0,53.0,
B,B,55.0,,40.0,54.0,25.0,,56.0,,55.0,39.0
B,B,,33.0,62.0,,33.0,,,42.0,40.0,60.0
,－,51.0,54.0,22.0,31.0,,23.0,,13.0,24.0,48.0
B,－,35.0,,45.0,62.0,27.0,,40.0,35.0,17.0,73.0
C,A,68.0,56.0,46.0,47.0,38.0,44.0,,,17.0,
B,D,40.0,52.0,47.0,42.0,,15.0,31.0,,19.0,39.0
B,C,51.0,43.0,51.0,,,63.0,38.0,36.0,,57.0
B,－,59.0,48.0,58.0,,27.0,29.0,,43.0,27.0,30.0
B,－,,,50.0,44.0,35.0,26.0,,67.0,63.0,49.0
B,C,43.0,39.0,36.0,28.0,35.0,52.0,70.0,59.0,,
A,－,35.0,83.0,60.0,46.0,,61.0,59.0,56.0,23.0,46.0
B,－,33.0,35.0,26.0,,56.0,19.0,51.0,,27.0,31.0
A,B,56.0,50.0,,,,31.0,58.0,28.0,23.0,53.0
B,C,76.0,61.0,51.0,45.0,35.0,14.0,68.0,74.0,64.0,
A,D,,58.0,54.0,,63.0,25.0,36.0,,10.0,
B,－,59.0,70.0,42.0,,,,,18.0,,37.0
,A,37.0,52.0,53.0,40.0,30.0,24.0,54.0,65.0,,56.0
A,B,,82.0,31.0,,,56.0,58.0,46.0,52.0,37.0
B,D,46.0,,,52.0,32.0,,29.0,19.0,36.0,
B,A,35.0,57.0,49.0,33.0,27.0,40.0,,44.0,38.0,30.0
A,－,27.0,,22.0,43.0,52.0,47.0,56.0,,40.0,54.0
B,C,38.0,46.0,33.0,43.0,,39.0,42.0,21.0,23.0,
B,B,,85.0,42.0,30.0,,42.0,,9.0,24.0,39.0
,D,71.0,50.0,,45.0,11.0,71.0,20.0,62.0,20.0,65.0
B,A,50.0,,22.0,69.0,42.0,28.0,59.0,57.0,17.0,67.0
B,－,,36.0,37.0,,19.0,35.0,61.0,50.0,10.0,51.0
B,S,39.0,,45.0,61.0,34.0,48.0,32.0,50.0,34.0,31.0
C,A,49.0,48.0,54.0,39.0,52.0,32.0,,29.0,33.0,37.0
A,B,38.0,53.0,,46.0,63.0,32.0,74.0,37.0,48.0,33.0
B,S,64.0,48.0,58.0,,,73.0,31.0,50.0,31.0,63.0
B,S,52.0,43.0,47.0,51.0,,17.0,46.0,54.0,23.0,59.0
,D,32.0,40.0,45.0,47.0,,30.0,57.0,7.0,16.0,69.0
B,S,37.0,30.0,56.0,56.0,,67.0,57.0,62.0,20.0,47.0
A,－,,81.0,43.0,27.0,24.0,,58.0,21.0,11.0,36.0
B,－,63.0,49.0,41.0,51.0,33.0,40.0,61.0,17.0,,46.0
A,－,27.0,84.0,,,42.0,34.0,74.0,58.0,45.0,54.0
B,－,40.0,,46.0,36.0,,35.0,,,15.0,53.0
,D,47.0,52.0,58.0,47.0,,25.0,60.0,51.0,21.0,
B,B,47.0,45.0,37.0,38.0,26.0,14.0,,61.0,58.0,49.0
B,－,43.0,,,45.0,,,,,30.0,60.0
B,B,39.0,,49.0,44.0,44.0,,28.0,71.0,12.0,
B,B,79.0,,38.0,54.0,57.0,55.0,,51.0,32.0,
B,B,37.0,,62.0,48.0,24.0,65.0,57.0,46.0,34.0,54.0
,C,29.0,56.0,22.0,46.0,25.0,43.0,18.0,67.0,23.0,58.0
B,B,27.0,,22.0,,50.0,29.0,,,33.0,54.0
B,S,40.0,48.0,40.0,38.0,,,32.0,,36.0,62.0
B,B,66.0,30.0,23.0,43.0,45.0,37.0,20.0,,18.0,
B,S,48.0,55.0,53.0,58.0,,,66.0,14.0,54.0,60.0
B,D,62.0,55.0,,30.0,32.0,28.0,,28.0,31.0,
C,D,49.0,81.0,42.0,34.0,40.0,21.0,40.0,21.0,,51.0
A,－,27.0,82.0,49.0,46.0,,65.0,,44.0,64.0,53.0
,－,62.0,34.0,27.0,,48.0,35.0,,17.0,32.0,68.0
A,B,,48.0,44.0,,65.0,27.0,,45.0,,41.0
B,S,,,,,48.0,,37.0,36.0,20.0,53.0
B,A,27.0,,50.0,44.0,,48.0,40.0,55.0,36.0,47.0
B,－,44.0,,22.0,64.0,30.0,,74.0,36.0,18.0,
A,S,50.0,56.0,47.0,50.0,39.0,,,49.0,42.0,25.0
B,B,46.0,89.0,,42.0,30.0,35.0,,40.0,29.0,49.0
A,－,32.0,96.0,34.0,,48.0,36.0,41.0,61.0,55.0,
C,－,27.0,53.0,37.0,,34.0,24.0,54.0,64.0,34.0,64.0
A,B,54.0,,33.0,53.0,42.0,19.0,55.0,48.0,32.0,37.0
A,C,55.0,42.0,65.0,37.0,34.0,,,,,61.0
C,D,53.0,24.0,46.0,41.0,63.0,28.0,52.0,,,34.0
A,S,38.0,,,44.0,39.0,46.0,44.0,45.0,31.0,
A,A,42.0,,43.0,43.0,23.0,,52.0,43.0,32.0,70.0
B,B,55.0,56.0,58.0,,40.0,52.0,57.0,58.0,39.0,48.0
A,A,46.0,62.0,,49.0,45.0,20.0,74.0,30.0,,42.0
A,C,,70.0,57.0,44.0,36.0,67.0,62.0,,30.0,72.0
B,C,41.0,,70.0,31.0,35.0,57.0,,16.0,,
A,S,67.0,65.0,54.0,72.0,31.0,,42.0,49.0,,53.0
B,C,,34.0,41.0,44.0,28.0,52.0,41.0,43.0,20.0,79.0
B,－,65.0,65.0,46.0,,40.0,,57.0,42.0,51.0,50.0
B,－,50.0,30.0,22.0,44.0,,69.0,55.0,58.0,,55.0
B,－,49.0,54.0,,28.0,67.0,38.0,66.0,67.0,38.0,61.0
B,－,56.0,53.0,69.0,42.0,74.0,27.0,34.0,,20.0,44.0
B,－,37.0,49.0,47.0,53.0,,30.0,,33.0,28.0,53.0
B,S,,73.0,24.0,43.0,35.0,14.0,48.0,50.0,,
,D,39.0,51.0,52.0,44.0,38.0,49.0,68.0,56.0,43.0,
,B,27.0,,44.0,37.0,29.0,62.0,47.0,53.0,30.0,32.0
B,B,41.0,96.0,48.0,,41.0,65.0,51.0,54.0,41.0,42.0
A,－,,,45.0,27.0,36.0,26.0,47.0,15.0,,61.0
,C,35.0,43.0,51.0,37.0,38.0,22.0,41.0,,18.0,51.0
,C,54.0,59.0,,61.0,56.0,43.0,53.0,26.0,22.0,50.0
B,S,,64.0,41.0,76.0,,36.0,,18.0,16.0,44.0
,S,,41.0,47.0,69.0,18.0,,,40.0,14.0,53.0
,S,85.0,63.0,63.0,48.0,,41.0,51.0,24.0,39.0,58.0
,S,60.0,56.0,31.0,47.0,37.0,,39.0,,55.0,52.0
B,－,,46.0,22.0,47.0,24.0,31.0,44.0,15.0,,56.0
,S,53.0,52.0,44.0,51.0,,20.0,48.0,,,56.0
A,D,40.0,,,38.0,38.0,,63.0,61.0,17.0,75.0
,－,53.0,37.0,43.0,38.0,34.0,33.0,,,12.0,65.0
C,C,46.0,,35.0,,24.0,39.0,37.0,,48.0,
,S,44.0,96.0,33.0,52.0,40.0,16.0,30.0,67.0,20.0,48.0
C,－,52.0,54.0,57.0,35.0,38.0,47.0,51.0,40.0,31.0,55.0
B,D,,35.0,,50.0,30.0,,74.0,52.0,21.0,53.0
B,A,39.0,57.0,,35.0,43.0,38.0,,46.0,24.0,
B,S,53.0,46.0,23.0,42.0,25.0,17.0,48.0,53.0,42.0,
A,C,60.0,54.0,58.0,33.0,,,,68.0,58.0,57.0
B,－,50.0,,52.0,24.0,43.0,39.0,,35.0,12.0,47.0
B,－,27.0,,58.0,,24.0,40.0,61.0,64.0,63.0,52.0
,C,57.0,42.0,22.0,43.0,29.0,40.0,35.0,53.0,50.0,48.0
A,C,85.0,70.0,22.0,40.0,28.0,34.0,,35.0,34.0,
A,－,27.0,73.0,24.0,44.0,,,,,39.0,60.0
B,D,49.0,96.0,43.0,75.0,46.0,29.0,65.0,71.0,45.0,61.0
A,－,46.0,36.0,,38.0,36.0,,48.0,30.0,29.0,79.0
A,D,36.0,33.0,,58.0,33.0,51.0,73.0,,45.0,
,－,53.0,76.0,27.0,,35.0,24.0,63.0,,34.0,50.0
B,－,43.0,40.0,37.0,47.0,51.0,27.0,28.0,60.0,27.0,61.0
